account_id	issuer_id	display_name	account_type	lifecycle_status	mapping_status	yield_structure	flat_rate_pct	promotional_rate_pct	promotional_rate_end_date	rate_type	max_balance_earning_stated_rate_mxn	monthly_fee_mxn	min_balance_mxn	min_opening_deposit_mxn	liquidity	term_days	insurance_scheme	insurance_coverage_udis	notes	conf_identity	conf_cost	conf_yield
nu_mx__cajita_nu	nu_mx	Cajita Nu	savings	active	mapped	tiered	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	rendimiento_anual_nominal	UNCAPPED	0	0	0	instant	NOT_APPLICABLE	PROSOFIPO	25000	Contractual base 6.00% (GAT nominal 6.72%), promo preferencial 6.50%; congelada 6.80%; Cajita Turbo 13.00% (see ConditionalBoosts)	high	medium	low
mercado_pago__cuenta_mercado_pago_rendimientos	mercado_pago	Cuenta Mercado Pago (rendimientos)	hybrid	active	mapped	tiered	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	rendimiento_anual_nominal	25000	0	0	0	instant	NOT_APPLICABLE	none	NOT_APPLICABLE	7% base, up to 13% with $3000/mo deposit on <=$25000; NOT IPAB (fund-linked); change effective 1 Oct 2025	high	medium	medium
finsus__cuenta_de_ahorro_finsus	finsus	Cuenta de ahorro finsus+	savings	active	mapped	flat	7.08	NOT_APPLICABLE	NOT_APPLICABLE	rendimiento_anual_nominal	UNCAPPED	0	0	100	instant	NOT_APPLICABLE	PROSOFIPO	25000	Investment tier up to 8.69% (verify current)	high	medium	medium
klar__cuenta_klar_saldo_disponible	klar	Cuenta Klar (saldo disponible)	savings	active	mapped	flat	3.0	NOT_APPLICABLE	NOT_APPLICABLE	rendimiento_anual_nominal	UNCAPPED	0	100	0	instant	NOT_APPLICABLE	PROSOFIPO	25000	3% standard, 5% Plus/Platino; Inversión Max up to 15% (see ConditionalBoosts)	high	medium	medium
stori__stori_cuenta_apartados	stori	Stori Cuenta+ (Apartados)	savings	active	mapped	flat	8.0	NOT_APPLICABLE	NOT_APPLICABLE	GAT_nominal	24000	0	0	0	instant	NOT_APPLICABLE	PROSOFIPO	25000	GAT nominal up to 8.20%; deposit cap $24000/mo; Inversión+ up to 15%	high	medium	medium
uala_mx__cuenta_con_rendimiento_uala	uala_mx	Cuenta con rendimiento Ualá	savings	active	mapped	tiered	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	rendimiento_anual_nominal	30000	0	100	0	instant	NOT_APPLICABLE	IPAB	400000	6.75% base, 12% with $3000/mo, 15% with $6000/mo, all on <=$30000	high	medium	low
uala_mx__reserva_a_plazo_uala	uala_mx	Reserva a plazo Ualá	investment_term	active	mapped	flat	8.5	NOT_APPLICABLE	NOT_APPLICABLE	rendimiento_anual_nominal	UNCAPPED	0	10	10	term_locked	365	IPAB	400000	365-day term; from $10	high	medium	medium
crediclub__inversion_supertasas	crediclub	Inversión SuperTasas	investment_term	active	mapped	flat	8.8	NOT_APPLICABLE	NOT_APPLICABLE	GAT_nominal	UNCAPPED	0	1	1	term_locked	UNKNOWN	PROSOFIPO	25000	Same rate regardless of amount; up to ~8.80% GAT nominal	high	medium	low
jp_sofiexpress__didi_cuenta	jp_sofiexpress	DiDi Cuenta	savings	active	mapped	tiered	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	rendimiento_anual_nominal	10000	0	0	0	instant	NOT_APPLICABLE	PROSOFIPO	25000	Effective 2 Feb 2026: 15% on first $10000, 7.5% above; no min spend (supersedes prior 16%/8.5%)	high	low	low
hey_banco__ahorro_hey	hey_banco	Ahorro Hey	savings	active	mapped	flat	4.0	NOT_APPLICABLE	NOT_APPLICABLE	rendimiento_anual_nominal	UNCAPPED	0	0	0	instant	NOT_APPLICABLE	IPAB	400000	Up to 5 metas; 4% flat	high	medium	low
